url,domainStart,domainEnd,sslStart,sslEnd,sslIssuer,label
atlasotel,8184,215,-1,-1,,0
sgk,5497,345,-1,-1,,0
jetpark,1603,222,31,59,Let's Encrypt,0
cleanestroom,5007,105,-1,-1,,0
turkerhalicilik,947,147,-1,-1,,0
planus,996,1193,50,40,Let's Encrypt,0
ekipkuafor,2867,53,-1,-1,,0
megareklam,4155,591,250,115,"Cloudflare, Inc.",0
kopimarket,4617,495,52,38,Let's Encrypt,0
sevenlife,120,244,-1,-1,,0
healthguard,1093,366,0,90,Let's Encrypt,0
salihakirbas,1538,287,13,77,Let's Encrypt,0
eldor,7296,738,-1,-1,,0
fcgida,1453,1467,16,74,Let's Encrypt,0
hukia,1716,109,50,40,"cPanel, Inc.",0
remacreative,3664,352,17,73,Sectigo Limited,0
saranet,1337,122,47,43,Let's Encrypt,0
supclean,1145,1044,43,47,Let's Encrypt,0
milanomobilya,6842,96,21,69,Google Trust Services LLC,0
aksetgrup,4299,82,50,40,"cPanel, Inc.",0
travel4u,6815,1218,10,80,Let's Encrypt,0
erdemplastik,2293,262,-1,-1,,0
mista,5741,1196,292,72,"Cloudflare, Inc.",0
emberco,1792,32,19,71,Let's Encrypt,0
mtholding,4301,446,331,33,DigiCert Inc,0
nilotel,4315,66,-1,-1,,0
turtc,4494,253,-1,-1,,0
ambalajiste,773,686,54,36,Let's Encrypt,0
celikparakasasi,2221,1064,46,44,Google Trust Services LLC,0
didemdogan,2559,361,36,54,Let's Encrypt,0
oksijen,5239,968,-1,-1,,0
sektoreltema,1809,15,10,80,Let's Encrypt,0
eserdekorasyon,5330,147,3,87,Let's Encrypt,0
arvinyahome,2534,386,21,69,Let's Encrypt,0
evacare,1598,227,-1,-1,,0
erensenetci,1178,281,255,110,"Cloudflare, Inc.",0
ozaktemizlik,1710,115,25,65,"cPanel, Inc.",0
onurinsaatmalzemeleri,2076,114,-1,-1,,0
yemeksaati,638,91,56,34,Let's Encrypt,0
erkanilkbahar,2354,566,1,89,Let's Encrypt,0
derinticaret,4894,218,60,30,Let's Encrypt,0
