url,domainStart,domainEnd,sslStart,sslEnd,sslIssuer,label,dlPhishingScore
fullajans,1556,269,27,63,Let's Encrypt,0,0.07497611
beynelmilel,1141,318,14,76,Let's Encrypt,0,0.0037676198
bedora,3181,105,21,69,Let's Encrypt,0,0.028297208
fcayapi,969,125,1,89,Let's Encrypt,0,0.06288246
teknoel,7170,133,46,44,Let's Encrypt,0,0.09296124
asspor,4488,1354,51,346,GlobalSign nv-sa,0,0.032959323
feda,4817,295,-1,-1,,0,0.017401524
elsis-elektrik,3739,277,31,59,Let's Encrypt,0,0.0011686378
vitrafix,6562,376,-1,-1,,0,0.07430337
birlesimtelekom,1768,56,11,79,Let's Encrypt,0,0.03839953
minekids,2919,1,46,44,Let's Encrypt,0,0.10775941
erkaplastik,1662,163,56,34,Let's Encrypt,0,0.0022491887
celebipvc,6482,91,-1,-1,,0,0.053552214
yafdiesel,2895,25,-1,-1,,0,0.09782699
akturkelektronik,6169,769,32,58,Let's Encrypt,0,0.0025552437
milligaz,805,289,0,90,Let's Encrypt,0,0.014974344
afsol,1688,137,57,33,Let's Encrypt,0,0.03613022
urayapi,2894,757,5,85,Let's Encrypt,0,0.0050667534
eskisehircilingir,2312,973,7,83,Let's Encrypt,0,0.006860639
watershield,1725,100,47,318,DigiCert Inc,0,0.20800816
numanpoyraz,160,934,43,47,Let's Encrypt,0,0.09153216
su-yapi,5337,505,-1,-1,,0,0.0066335453
muharremayvaz,3367,284,-1,-1,,0,0.00606481
aptech,3032,619,147,218,Sectigo Limited,0,0.0052510467
rkb,5377,100,-1,-1,,0,0.06432617
gumussuaritma,5429,413,18,72,Let's Encrypt,0,0.0031391303
blackdiamond,3914,102,-1,-1,,0,0.018464265
sibay,6301,272,-1,-1,,0,0.033657376
ucuncugoz,4588,159,5,85,Let's Encrypt,0,0.010517229
ictnebula,522,1302,-1,-1,,0,0.47210634
kodgemstraight,1318,871,34,56,Sectigo Limited,0,0.26863715
mall,826,268,-1,-1,,0,0.135872
atlasotel,8184,215,-1,-1,,0,0.0046060053
sgk,5497,345,-1,-1,,0,0.037365098
jetpark,1603,222,31,59,Let's Encrypt,0,0.013984908
cleanestroom,5007,105,-1,-1,,0,0.47424453
turkerhalicilik,947,147,-1,-1,,0,0.00798733
planus,996,1193,50,40,Let's Encrypt,0,0.10739994
ekipkuafor,2867,53,-1,-1,,0,0.010370735
megareklam,4155,591,250,115,"Cloudflare, Inc.",0,0.00061284547
kopimarket,4617,495,52,38,Let's Encrypt,0,0.045321204
sevenlife,120,244,-1,-1,,0,0.14050229
healthguard,1093,366,0,90,Let's Encrypt,0,0.5236045
salihakirbas,1538,287,13,77,Let's Encrypt,0,0.12313378
eldor,7296,738,-1,-1,,0,0.0070733405
fcgida,1453,1467,16,74,Let's Encrypt,0,0.014163042
hukia,1716,109,50,40,"cPanel, Inc.",0,0.05718217
remacreative,3664,352,17,73,Sectigo Limited,0,0.019543651
saranet,1337,122,47,43,Let's Encrypt,0,0.045820385
supclean,1145,1044,43,47,Let's Encrypt,0,0.089031994
milanomobilya,6842,96,21,69,Google Trust Services LLC,0,0.0013953336
aksetgrup,4299,82,50,40,"cPanel, Inc.",0,0.002037494
travel4u,6815,1218,10,80,Let's Encrypt,0,0.16340709
erdemplastik,2293,262,-1,-1,,0,0.0026507755
mista,5741,1196,292,72,"Cloudflare, Inc.",0,0.07361265
emberco,1792,32,19,71,Let's Encrypt,0,0.075893424
mtholding,4301,446,331,33,DigiCert Inc,0,0.01129057
nilotel,4315,66,-1,-1,,0,0.012119821
turtc,4494,253,-1,-1,,0,0.2313679
ambalajiste,773,686,54,36,Let's Encrypt,0,0.008123049
