url,domainStart,domainEnd,sslStart,sslEnd,sslIssuer,label,dlPhishingScore
rventmedical,3130,156,-1,-1,,0,0.02229465
hb4,744,350,2,88,Let's Encrypt,0,0.098525636
eneshannalbant,976,118,24,66,Let's Encrypt,0,0.47472697
kartalgazetesi,5784,58,-1,-1,,0,0.0027731247
seemars,745,349,56,34,Let's Encrypt,0,0.103440724
savkararena,3917,829,58,32,Let's Encrypt,0,0.002735465
hevnateknik,1754,70,281,84,Sectigo Limited,0,0.0037843122
bartindiyaliz,1807,17,3,87,Let's Encrypt,0,0.00356523
efesoft,1031,793,12,78,Let's Encrypt,0,0.008855231
reistrans,7504,165,1,89,Let's Encrypt,0,0.065884456
kolaypar,903,191,7,83,Let's Encrypt,0,0.108157866
narticaret,981,113,23,67,Let's Encrypt,0,0.037174042
terbay,9604,256,37,53,Let's Encrypt,0,0.047475204
ekspoturk,2404,151,41,49,Let's Encrypt,0,0.0072937817
lay-z-spa,3227,58,37,53,Let's Encrypt,0,0.8434616
gercelman,7408,1722,41,49,"cPanel, Inc.",0,0.014941281
topalhoroz,1533,292,-1,-1,,0,0.0059367763
marjinalco,5579,263,-1,-1,,0,0.25868344
beyotcom,602,127,-1,-1,,0,0.07169849
mertalbum,7198,470,-1,-1,,0,0.1377326
yigitsangrup,4952,890,57,33,Google Trust Services LLC,0,0.0010047011
eftalyilmaz,2895,391,256,108,"Cloudflare, Inc.",0,0.0075249583
astur,1899,291,-1,-1,,0,0.013300781
eyesun,1005,88,31,59,Let's Encrypt,0,0.027004603
turkpos,3273,378,-1,-1,,0,0.056873225
madsports,2555,1826,18,72,Let's Encrypt,0,0.27005088
fmo,4467,280,58,32,Let's Encrypt,0,0.0931308
yapidekorasyon,1493,1793,52,38,Let's Encrypt,0,0.002798065
ayhanpark,3969,1142,43,47,Let's Encrypt,0,0.0028803316
novayapim,1255,569,-1,-1,,0,0.008605807
iremnuranaokulu,2065,125,84,6,SSL Corporation,0,0.0014343344
werte,1690,135,123,274,"Starfield Technologies, Inc.",0,0.13404481
berkayvahapoglu,1334,125,3,87,Let's Encrypt,0,0.017577847
indirimo,3797,1314,-1,-1,,0,0.10013505
asoil,1863,327,310,55,Sectigo Limited,0,0.19499771
kurelektrik,6111,1558,-1,-1,,0,0.002021172
kuyutakip,1389,1166,30,60,Google Trust Services LLC,0,0.10289647
cropscience,663,65,31,59,Google Trust Services LLC,0,0.5919075
anildenizurunleri,4385,362,59,31,"cPanel, Inc.",0,0.6004191
volkanyildirim,1725,1195,6,84,Let's Encrypt,0,0.0016229276
cetmen,5944,264,2,88,Google Trust Services LLC,0,0.058134444
byanka,1757,67,44,46,Let's Encrypt,0,0.2288397
zeynepsahika,1634,191,0,90,Let's Encrypt,0,0.0077695334
azimgodeneli,6870,67,7,83,Let's Encrypt,0,0.019994088
autowork,875,219,53,312,Sectigo Limited,0,0.047091577
erenetiket,3613,37,-1,-1,,0,0.0069642705
espasan,3356,295,-1,-1,,0,0.11430044
istor,9667,193,47,43,Let's Encrypt,0,0.1417037
cakakereste,3994,21,1,89,Let's Encrypt,0,0.20718242
egedemir,4426,321,29,61,Let's Encrypt,0,0.0034745352
drortodontist,3615,35,361,4,Sectigo Limited,0,0.6466329
kopruluticaret,2097,1554,37,53,Sectigo Limited,0,0.014184288
safeandsecure,1382,443,-1,-1,,0,0.9967835
ozelofset,2034,156,-1,-1,,0,0.014047702
skygo,1054,39,6,84,Let's Encrypt,0,0.25873733
naciaslan,1513,-54,-1,-1,,0,0.0037369288
flowingo,792,1032,72,293,Sectigo Limited,0,0.09262189
rep,1375,84,57,33,Let's Encrypt,0,0.15914395
yonavm,4125,1351,100,265,"Cloudflare, Inc.",0,0.11910685
liderguvenlik,735,359,48,42,Let's Encrypt,0,0.0041286475
vois,1969,1682,8,82,Sectigo Limited,0,0.070086226
yildizcelik,3552,99,37,53,Google Trust Services LLC,0,0.0068243
pismanetmeyenlezzetler,721,1468,8,82,Google Trust Services LLC,0,0.030014146
mycopy,492,237,9,81,Let's Encrypt,0,0.21446657
adailkeinsaat,2100,90,40,50,Let's Encrypt,0,0.0012433863
evrenmuzik,3335,316,13,77,Let's Encrypt,0,0.0033442557
egenaturel,893,1296,11,79,Let's Encrypt,0,0.002838574
sunconnect,1879,1772,39,51,Let's Encrypt,0,0.5209684
plaza,6625,313,-1,-1,,0,0.039553378
ademyesiloz,662,66,23,67,Google Trust Services LLC,0,0.0075209034
ercanbulbul,1019,74,27,63,Let's Encrypt,0,0.004160426
edmina,2936,349,-1,-1,,0,0.03683049
petrolpiyasasi,2053,137,34,56,Let's Encrypt,0,0.014589486
iskeledenizcilik,5652,1285,-1,-1,,0,0.006930242
efereklam,5385,457,53,37,Let's Encrypt,0,0.0012200878
cosabella,1843,347,39,51,Let's Encrypt,0,0.014464728
istanbulservis,4217,164,-1,-1,,0,0.009805302
elementlojistik,3167,119,3,87,Google Trust Services LLC,0,0.0018029115
egecocukozelegitim,1991,1660,-1,-1,,0,0.015939433
semihorhan,1908,1012,-1,-1,,0,0.06251218
sigal,7569,100,24,66,Let's Encrypt,0,0.030393528
alphard,3067,219,-1,-1,,0,0.12062922
dorumimarlik,553,176,10,80,Let's Encrypt,0,0.003581233
ismailaltay,3612,38,23,67,Google Trust Services LLC,0,0.008490913
rinex,4983,494,-1,-1,,0,0.049418356
gusbilisim,1214,245,52,38,Let's Encrypt,0,0.046175286
atasehirtercume,2592,328,-1,-1,,0,0.025015157
mileny,5166,676,1,89,Let's Encrypt,0,0.15757035
aposto,1211,248,27,63,Google Trust Services LLC,0,0.13817477
yenielif,3557,94,4,86,Let's Encrypt,0,0.119898014
ozcandemirel,4740,6,-1,-1,,0,0.0016580943
balkanlikuruyemis,3125,526,50,40,Let's Encrypt,0,0.008242277
ozguvenmakine,1158,301,17,73,Let's Encrypt,0,0.0015279365
sepenatural,5960,1343,42,323,"Cloudflare, Inc.",0,0.08596986
pysguvenlik,1768,56,240,124,DigiCert Inc,0,0.008540764
htggrup,4629,483,42,48,Let's Encrypt,0,0.0015609643
halukatamal,7186,482,287,82,Sectigo Limited,0,0.0072478275
sefakilic,4732,14,-1,-1,,0,0.106358565
aytulav,555,1269,59,31,Let's Encrypt,0,0.02863221
nanotec,6129,78,32,58,Let's Encrypt,0,0.1546072
coreal,5980,1323,53,37,Let's Encrypt,0,0.13227464
grafcat,1331,128,48,42,Let's Encrypt,0,0.14384888
bisse,9793,66,-1,-1,,0,0.20515357
organiksepeti,2324,1692,309,55,"Cloudflare, Inc.",0,0.06296991
ratek,7707,692,44,46,Let's Encrypt,0,0.0110784285
savana,7741,293,30,60,Let's Encrypt,0,0.06015377
kolsaatleri,4255,126,27,63,Google Trust Services LLC,0,0.011663197
namtur,1095,364,10,80,Let's Encrypt,0,0.017889148
ahmetkavak,5432,44,-1,-1,,0,0.025919348
cagalogluhamami,9690,170,13,77,Let's Encrypt,0,0.27786183
kultecivata,4145,236,13,77,Let's Encrypt,0,0.007679805
holdarts,1838,352,297,99,"DigiCert, Inc.",0,0.28050253
duba,7959,1170,21,69,Let's Encrypt,0,0.0634441
grworld,1688,137,-1,-1,,0,0.04399496
lenotek,1422,1498,36,54,Google Trust Services LLC,0,0.00976293
kasimyilmaz,1666,159,33,57,Let's Encrypt,0,0.0037003958
codelama,1724,101,41,49,Let's Encrypt,0,0.3054607
kutahyaserkancini,689,405,-1,-1,,0,0.011147056
isdoor,3251,34,134,231,Sectigo Limited,0,0.07072141
edusmart,1512,-53,-1,-1,,0,0.103405796
junker-turkey,3055,231,48,42,Let's Encrypt,0,0.08716598
aktuelturnike,3958,57,-1,-1,,0,0.09292516
safranorganizasyon,4222,159,25,65,Let's Encrypt,0,0.029547656
rainbird,8499,265,-1,-1,,0,0.27213845
ismailkara,1373,86,1,89,Let's Encrypt,0,0.022483947
fidandoviz,1682,143,46,44,Let's Encrypt,0,0.0019669048
vialux,3315,336,1,394,GoGetSSL,0,0.16320165
repla,1150,309,34,56,Let's Encrypt,0,0.04506689
abcgoruntuleme,3150,136,46,44,Let's Encrypt,0,0.022941409
yelkengroup,2857,63,31,59,Let's Encrypt,0,0.0061382083
bain,4559,188,42,326,DigiCert Inc,0,0.11275976
efealuminyum,1800,24,9,81,Let's Encrypt,0,0.0015733151
tanitan,6311,262,9,81,Let's Encrypt,0,0.05248505
dynamicsafe,2761,159,50,40,Let's Encrypt,0,0.15744285
zenstudio,1823,367,22,68,Google Trust Services LLC,0,0.16592894
zarifcorap,7114,189,27,63,Let's Encrypt,0,0.030724218
drcaglayan,1372,1548,45,45,Let's Encrypt,0,0.09564033
tekyalitimas,1743,81,55,35,Let's Encrypt,0,0.052128434
dehaisiendustriyel,1340,119,9,81,Let's Encrypt,0,0.004569917
polatkomur,5812,1126,-1,-1,,0,0.018958826
evtas,4067,314,162,218,Sectigo Limited,0,0.01665415
luganocaffe,1768,1152,7,83,Google Trust Services LLC,0,0.20886953
piainsaat,4210,171,58,32,Let's Encrypt,0,0.0022008438
karoglu,3816,200,-1,-1,,0,0.0035519674
idearc,3224,1157,128,237,Isimtescil Bilisim A.S.,0,0.19221044
stern,5672,535,38,327,Sectigo Limited,0,0.22400418
kapitalgy,6595,1073,21,69,Let's Encrypt,0,0.23452404
4dizayn,6381,922,-1,-1,,0,0.20307887
fiver,1633,192,28,62,Let's Encrypt,0,0.07390501
gokcesan,6633,305,-1,-1,,0,0.009763133
biotechhealthcare,1586,239,94,272,Sectigo Limited,0,0.12284449
tunccelik,2515,39,13,77,Let's Encrypt,0,0.013450571
emiraksesuar,4347,1130,-1,-1,,0,0.0016213808
mazlummangtay,5818,24,23,67,Let's Encrypt,0,0.20891006
izgigrup,84,280,-1,-1,,0,0.0020679692
elementcevre,2124,65,17,73,Let's Encrypt,0,0.043011043
hemaks,8198,201,318,47,Sectigo Limited,0,0.021913085
mudamu,641,453,9,81,Google Trust Services LLC,0,0.05783465
katiplerkonagi,3087,199,6,84,Let's Encrypt,0,0.31944376
balayiotelleri,2240,315,16,74,Let's Encrypt,0,0.05092941
carboizolasyon,676,52,28,62,Let's Encrypt,0,0.009328824
derenkurumsal,2725,195,8,82,Let's Encrypt,0,0.0065987706
abko,5308,1264,16,74,Google Trust Services LLC,0,0.051372807
procomil,5405,71,-1,-1,,0,0.06253982
magkim,1292,532,17,73,Let's Encrypt,0,0.12670292
camlicatohumculuk,257,107,-1,-1,,0,0.014433336
serikvidanjor,1681,144,23,67,Let's Encrypt,0,0.02692073
goldmagazin,3357,294,40,50,Let's Encrypt,0,0.010124245
mindfulpsikoloji,633,1191,7,83,Let's Encrypt,0,0.006204984
dogusotomotiv,7197,106,130,235,DigiCert Inc,0,0.0021573408
sevgiyayinlari,6617,321,-1,-1,,0,0.005501027
geoplus,2254,301,347,18,Sectigo Limited,0,0.048094958
ayvazmakina,4817,295,67,328,Sectigo Limited,0,0.0014318349
asaran,5231,246,17,73,Sectigo Limited,0,0.03637455
fmsyonetim,2368,1282,57,33,Let's Encrypt,0,0.0022728215
metspharma,4546,566,6,84,Let's Encrypt,0,0.02541702
apaydinisi,921,173,216,149,Sectigo Limited,0,0.04591749
kirecciler,3301,350,37,53,Let's Encrypt,0,0.011688695
happytails,2208,1808,-1,-1,,0,0.17384309
vaocar,777,1047,58,32,Let's Encrypt,0,0.06834538
ttisi,3391,260,78,317,Sectigo Limited,0,0.08722919
baynetbilisim,4931,911,48,42,Let's Encrypt,0,0.009196596
doill,4313,1529,43,47,Let's Encrypt,0,0.13693607
ascari,945,149,61,29,Let's Encrypt,0,0.045157533
lemonade,4349,32,29,61,Let's Encrypt,0,0.64746416
ladyapi,2303,252,8,82,Let's Encrypt,0,0.0059800637
yukselakgun,1023,801,30,60,Let's Encrypt,0,0.0038013202
gercekevim,1043,50,338,27,Isimtescil Bilisim A.S.,0,0.030499851
netram,5482,360,-1,-1,,0,0.1474702
ludingirra,2215,705,58,32,Let's Encrypt,0,0.20544483
damlayayinevi,9614,1341,39,51,Let's Encrypt,0,0.0008217811
akayguvenlik,7933,1562,30,60,Let's Encrypt,0,0.0038081647
basakzincir,6800,138,55,35,Let's Encrypt,0,0.11302806
baskentotocam,9537,323,360,6,Sectigo Limited,0,0.010236817
etigumus,6958,1075,38,52,Let's Encrypt,0,0.09050211
emrahacikgoz,3496,520,13,77,Let's Encrypt,0,0.0041636713
anatolia,7067,1697,-1,-1,,0,0.0037931888
tuncaydurgut,3474,177,12,78,Let's Encrypt,0,0.07080626
alasante,1750,74,-1,-1,,0,0.031197818
denteffect,2158,31,-1,-1,,0,0.22090733
cengizergun,5449,393,-1,-1,,0,0.090586595
bmsrulman,772,1052,-1,-1,,0,0.06722075
humanera,3987,28,58,32,Let's Encrypt,0,0.159772
yuksekovahaber,3172,1575,309,55,"Cloudflare, Inc.",0,0.04312517
yorgunluk,2417,138,32,58,Google Trust Services LLC,0,0.44560137
epilepsitedavisi,3570,80,20,70,Let's Encrypt,0,0.033981726
eldenmakina,935,159,39,51,Let's Encrypt,0,0.0011352667
ozdenizhadde,555,1269,17,73,Let's Encrypt,0,0.060600527
probike,3629,21,284,81,Sectigo Limited,0,0.098019615
capellasourcing,1088,371,3,87,Let's Encrypt,0,0.5199838
malatyasentetikcuval,5277,200,58,32,Let's Encrypt,0,0.0026356082
aludrus,732,362,58,32,Let's Encrypt,0,0.0055942447
modellopuzzle,1172,287,6,84,Let's Encrypt,0,0.9900242
fapi,6330,243,-1,-1,,0,0.032237824
kinderbett,1305,519,-1,-1,,0,0.4534678
kiymet,560,169,69,21,Let's Encrypt,0,0.05941407
ebruozcan,3496,155,59,31,Let's Encrypt,0,0.031442944
ercanhukuk,3045,606,-1,-1,,0,0.0016539847
bggrupenerji,596,133,19,71,Let's Encrypt,0,0.00078877754
pudramint,794,1395,10,80,Let's Encrypt,0,0.13116941
gencliginavantajlidunyasi,837,987,213,152,DigiCert Inc,0,0.6479282
pacificturkey,5573,269,-1,-1,,0,0.16131417
cpaturkey,2695,955,-1,-1,,0,0.081869416
alfamekanik,443,286,-1,-1,,0,0.0025078836
oztekburo,3531,120,29,61,Let's Encrypt,0,0.0031796892
megapoll,2513,406,-1,-1,,0,0.08240753
yazoku,1130,329,318,47,Isimtescil Bilisim A.S.,0,0.1990513
grimimarlikinsaat,3997,384,-1,-1,,0,0.003829927
ibaksavunma,970,854,23,67,Let's Encrypt,0,0.006862397
ziya,8459,670,49,41,Let's Encrypt,0,0.038809825
sugibi,1008,85,23,67,Let's Encrypt,0,0.16874859
sertacungor,5380,462,49,41,Google Trust Services LLC,0,0.0073949066
tedavi,2171,384,-1,-1,,0,0.09698604
ravel,6010,198,-1,-1,,0,0.037964333
dtesenerji,3628,388,-1,-1,,0,0.00044448161
lezizbakliyat,5054,57,-1,-1,,0,0.0055325693
sezginlerlojistik,2922,364,59,31,Let's Encrypt,0,0.0019359334
erzade,4461,286,-1,-1,,0,0.013196505
aksesuare,3678,1433,52,38,Let's Encrypt,0,0.0064170603
bulutinsaat,2627,293,14,76,Sectigo Limited,0,0.003134398
shire,2781,139,26,64,Let's Encrypt,0,0.5094481
kuzeybati,9767,93,243,122,Sectigo Limited,0,0.073176004
fenova,2108,811,24,66,Let's Encrypt,0,0.059536885
hakimakina,1333,126,46,44,Let's Encrypt,0,0.0012566204
istest,604,125,39,51,Google Trust Services LLC,0,0.22953574
enigmus,5961,612,31,59,Let's Encrypt,0,0.075760275
karkim,3867,1610,9,81,Google Trust Services LLC,0,0.04733909
everestdizayn,1332,127,3,87,Let's Encrypt,0,0.0030238144
emiras,2516,38,32,58,Google Trust Services LLC,0,0.01393393
dejavumimarlik,3434,217,-1,-1,,0,0.0015500189
meskarrulman,1212,612,309,55,"Cloudflare, Inc.",0,0.0029323017
osmanoglugida,794,1395,15,75,Google Trust Services LLC,0,0.0059522227
seatek,3539,112,3,87,Let's Encrypt,0,0.07819185
queenwaffle,2195,-6,-1,-1,,0,0.12604521
memleketimas,2395,160,34,56,Let's Encrypt,0,0.039583366
duskuyusu,9047,82,35,55,Let's Encrypt,0,0.049477708
salihlisektorgazetesi,779,315,-1,-1,,0,0.0030565015
posstart,1536,289,30,60,Let's Encrypt,0,0.05951365
blueteras,878,216,6,84,Google Trust Services LLC,0,0.017354567
vedatgunes,813,281,23,67,Google Trust Services LLC,0,0.003051848
seller,4350,31,26,64,Let's Encrypt,0,0.08360351
orkimkimya,5895,313,-1,-1,,0,0.0010600995
furkankarpuz,575,519,-1,-1,,0,0.033021692
rtm,5428,779,30,60,Let's Encrypt,0,0.057751667
nuted,1703,122,284,113,GlobalSign nv-sa,0,0.034385152
erkinerdogan,4229,517,55,35,Let's Encrypt,0,0.0010616129
eskisehirplatform,3361,290,46,44,Let's Encrypt,0,0.0052459734
kurtkoycilingir,1227,232,53,37,Let's Encrypt,0,0.0025800513
yogurt,2917,369,22,68,Let's Encrypt,0,0.042196643
dogalagro,1011,813,-1,-1,,0,0.020197248
mrkey,827,267,32,58,Let's Encrypt,0,0.33181313
kahveaskina,3193,93,49,41,Let's Encrypt,0,0.0059167934
yoretur,6500,72,3,87,Let's Encrypt,0,0.062993266
teslapatent,2839,812,1,89,Let's Encrypt,0,0.002180935
ethemkaratas,837,257,-1,-1,,0,0.0024467213
elzemakina,624,835,14,76,Let's Encrypt,0,0.00074316264
edayavuz,1075,384,37,53,Let's Encrypt,0,0.0111014685
pashablind,1537,288,25,65,Let's Encrypt,0,0.8665474
megamaden,2563,357,112,253,Sectigo Limited,0,0.029144792
odine,2818,102,-1,-1,,0,0.06782709
hafiz,578,151,-1,-1,,0,0.11144831
onsreklam,6119,455,61,29,"cPanel, Inc.",0,0.006193668
erdimakina,982,112,1,89,Let's Encrypt,0,0.00069519767
legalpower,2118,1532,345,35,"DigiCert, Inc.",0,0.12678476
aykainsaat,3495,886,25,65,Let's Encrypt,0,0.0036506443
ozkefeliinsaat,4173,208,34,56,Let's Encrypt,0,0.0028749
esastrans,2816,104,247,118,Sectigo Limited,0,0.006716811
dcs,4932,1275,2,88,Let's Encrypt,0,0.0650575
damladesen,1656,1264,48,42,Let's Encrypt,0,0.035621706
eak,6104,104,23,67,Let's Encrypt,0,0.084167935
classi,6861,807,323,41,"DigiCert, Inc.",0,0.11105271
dedehukuk,5628,579,26,64,Let's Encrypt,0,0.010089605
baslangicvinc,767,327,-1,-1,,0,0.14727922
tarpaz,4616,496,40,50,Let's Encrypt,0,0.03374385
arcegitim,3103,183,4,86,Let's Encrypt,0,0.0037751265
markathor,1088,5,-1,-1,,0,0.19531982
hunericdisticaret,701,1123,352,43,Sectigo Limited,0,0.0012315676
5kazanim,2439,116,17,73,Let's Encrypt,0,0.22379231
efemed,5036,75,1,89,"cPanel, Inc.",0,0.007803131
kadirispirli,2844,76,29,61,Let's Encrypt,0,0.08953593
aliagatemizlik,3258,392,22,68,Let's Encrypt,0,0.004065947
burmold,2941,345,14,76,Let's Encrypt,0,0.16610774
superabrasive,4042,1069,12,353,DigiCert Inc,0,0.46268028
dusleratolyesi,3171,480,37,328,ZeroSSL,0,0.0158932
niluferacar,1844,346,57,33,Let's Encrypt,0,0.031018095
atckart,3522,129,34,56,"cPanel, Inc.",0,0.40217414
ayferakkol,716,12,23,67,Google Trust Services LLC,0,0.0070494385
senmaksan,3937,444,-1,-1,,0,0.06518651
dizayno,4615,132,-1,-1,,0,0.22336316
asendustri,4488,989,-1,-1,,0,0.0015614944
karniyarik,4029,352,23,67,Let's Encrypt,0,0.0033119959
asesguvenlik,989,835,51,39,Let's Encrypt,0,0.012088944
rotaenerji,2186,369,2,88,Let's Encrypt,0,0.0015332943
ozayormanurunleri,2559,361,46,44,Let's Encrypt,0,0.006605335
ersahome,2485,1165,-1,-1,,0,0.020859128
adasyadenim,640,88,39,51,Let's Encrypt,0,0.0045451536
mdskimya,663,65,33,57,Google Trust Services LLC,0,0.0024928357
asdefence,893,201,41,49,Let's Encrypt,0,0.15508245
manavgatotokurtarma,2922,364,2,88,Let's Encrypt,0,0.12029944
dkconsulting,620,474,7,83,Let's Encrypt,0,0.04910913
bambina,1676,514,39,51,Let's Encrypt,0,0.08498738
mevsimiklimlendirme,2250,305,20,70,Let's Encrypt,0,0.0032196734
antimikrop,2130,59,45,45,Let's Encrypt,0,0.0039226334
onerdikensoy,2915,5,30,60,Let's Encrypt,0,0.0027128146
muratuslu,492,237,29,61,Let's Encrypt,0,0.0051056254
kngaraj,4063,318,13,77,Let's Encrypt,0,0.025744706
mesutozsoy,4225,156,13,77,Let's Encrypt,0,0.0022526435
seramikayapi,5363,479,-1,-1,,0,0.005772951
mermerit,9296,199,-1,-1,,0,0.035508078
akaderkin,1730,1190,14,76,Google Trust Services LLC,0,0.0728956
enke,5611,231,48,42,Let's Encrypt,0,0.025800798
cimflok,2193,362,-1,-1,,0,0.08117625
istanbulfaktoring,3566,815,5,85,Let's Encrypt,0,0.007132432
kocaelibilgisayar,6153,54,-1,-1,,0,0.003734017
begonvilrestaurant,1942,248,22,68,Let's Encrypt,0,0.074423626
gelisimpen,2761,159,26,64,Let's Encrypt,0,0.24192572
kralbranda,6464,109,10,80,Let's Encrypt,0,0.0054600253
kammakmakine,2933,1083,1,89,Let's Encrypt,0,0.07318906
kitapcity,1833,357,29,61,Let's Encrypt,0,0.36780435
bipak,1183,641,-1,-1,,0,0.046409428
sutdunyasi,6223,1080,-1,-1,,0,0.030460723
sahinkirtasiye,6275,298,56,34,Let's Encrypt,0,0.0022806297
uginsaat,4167,214,-1,-1,,0,0.008593745
emasglobal,970,124,59,31,Let's Encrypt,0,0.03357032
dovme,1408,51,306,58,"Cloudflare, Inc.",0,0.13675138
makroboya,6636,302,144,221,Isimtescil Bilisim A.S.,0,0.0016077169
callipso,4168,1308,-1,-1,,0,0.080209814
talhaaslan,798,661,35,55,Let's Encrypt,0,0.017646885
arifgudul,568,161,37,53,Let's Encrypt,0,0.0051277773
jetmarket,1228,1326,-1,-1,,0,0.031302214
rawsome,2797,123,39,51,Let's Encrypt,0,0.3347978
lstek,1045,779,7,83,Let's Encrypt,0,0.07520495
energysafety,1341,118,-1,-1,,0,0.049944106
vezirbalcioglu,940,519,58,32,Let's Encrypt,0,0.0016280024
hostware,1393,432,41,49,Let's Encrypt,0,0.064890504
akay-plastik,7129,174,8,82,Let's Encrypt,0,0.0023839592
asma,1367,457,294,71,"Cloudflare, Inc.",0,0.0542244
esaslitemizlik,4343,38,38,52,Let's Encrypt,0,0.0043798015
noktayemek,2006,184,41,49,Let's Encrypt,0,0.010949295
ikizlermakine,4209,902,54,36,Let's Encrypt,0,0.005772849
sirindoner,891,203,53,37,Let's Encrypt,0,0.00653762
demirsanenerji,2572,348,-1,-1,,0,0.0007689924
tadist,4007,374,4,86,Let's Encrypt,0,0.047542647
yenihukuk,1712,113,-1,-1,,0,0.0057251197
parsozelguvenlik,2517,1132,57,33,Let's Encrypt,0,0.001747622
polyarziraat,2103,452,45,45,Let's Encrypt,0,0.04028251
pow,3812,1665,40,50,Google Trust Services LLC,0,0.43026438
ilkeotomobil,2191,364,-1,-1,,0,0.006805327
parslandrover,700,1124,21,69,Let's Encrypt,0,0.029690657
podo,5243,1329,44,46,Sectigo Limited,0,0.05292025
halilavci,7735,299,39,51,"cPanel, Inc.",0,0.029664524
evybaby,5735,107,31,59,Let's Encrypt,0,0.07675672
beincrypto,1569,256,231,134,"Cloudflare, Inc.",0,0.8242667
mertmuhendislik,3193,1554,19,71,Google Trust Services LLC,0,0.002305405
serdarsenay,3203,448,261,103,"Cloudflare, Inc.",0,0.006720935
etisyatirim,3063,223,-1,-1,,0,0.0036269168
cafemino,4502,245,49,41,Let's Encrypt,0,0.14511344
akabeandezit,6415,158,291,74,Sectigo Limited,0,0.17563102
er-ka,1439,751,16,74,Let's Encrypt,0,0.03149397
bahcemo,1864,326,28,62,Let's Encrypt,0,0.13475823
hitron,3032,984,245,121,Sectigo Limited,0,0.08498854
epi,5966,242,-1,-1,,0,0.12771492
phoenix,3481,170,-1,-1,,0,0.04600693
korumatemizlik,3546,470,14,366,Sectigo Limited,0,0.0021800096
2g,5679,893,-1,-1,,0,0.057392024
enbainsaat,2002,188,218,147,Isimtescil Bilisim A.S.,0,0.0016320981
skyinsaat,3329,687,16,74,Let's Encrypt,0,0.0022665584
primos,800,1024,-1,-1,,0,0.07737567
elogoearsiv,2233,322,57,33,Google Trust Services LLC,0,0.9344434
gfc,3847,1264,22,68,Let's Encrypt,0,0.03351817
hayalhanem,3677,704,32,58,Google Trust Services LLC,0,0.13248917
balikcioglu,9508,352,-1,-1,,0,0.001126656
arslanbey,1758,66,9,81,Sectigo Limited,0,0.03417632
umchydraulic,2258,1392,11,79,Let's Encrypt,0,0.2941734
ozfilm,6063,1240,-1,-1,,0,0.011210116
eminsen,956,503,51,39,Google Trust Services LLC,0,0.043334458
glasso,1067,757,45,45,Let's Encrypt,0,0.14076628
gines,1753,71,4,86,Let's Encrypt,0,0.0728865
hidroden,5450,26,46,44,Let's Encrypt,0,0.059292622
pixar,5007,105,31,59,Let's Encrypt,0,0.06903042
portofinohotelcyprus,3528,123,-1,-1,,0,0.1596845
trete,7933,101,-1,-1,,0,0.29424685
nazgrup,1459,366,75,15,Let's Encrypt,0,0.0026909297
dogadekor,1751,439,42,48,Let's Encrypt,0,0.05560682
piq,767,1057,55,35,Let's Encrypt,0,0.41168836
avecajans,1005,819,54,36,Let's Encrypt,0,0.06671262
liya,5673,534,34,56,Let's Encrypt,0,0.030381454
ekolsistem,8388,741,24,66,Let's Encrypt,0,0.026252693
medicatech,1557,268,31,59,Let's Encrypt,0,0.0026617076
cankara,4458,289,12,78,Let's Encrypt,0,0.0057128584
poltar,7347,1052,18,362,Sectigo Limited,0,0.019356456
panayir,6324,614,24,66,Let's Encrypt,0,0.12667532
giser,870,224,57,33,Let's Encrypt,0,0.0500371
ferikoycilingir,4019,727,-1,-1,,0,0.0031396137
dogaldestek,5050,427,42,323,"Cloudflare, Inc.",0,0.2785534
hazimagasuturunleri,1319,140,34,56,Let's Encrypt,0,0.012999372
resuldemir,3396,985,-1,-1,,0,0.018982535
izorex,2090,1194,3,87,Let's Encrypt,0,0.06297121
vatanforklifthastanesi,1911,644,-1,-1,,0,0.0024939065
maskom,4993,119,318,47,Sectigo Limited,0,0.07688102
draeger,8998,132,161,205,DigiCert Inc,0,0.20277052
tursum,2999,287,287,77,"Cloudflare, Inc.",0,0.062045015
yeditepemuzik,6420,153,71,19,"cPanel, Inc.",0,0.0031688411
cozumhost,2905,746,37,53,Let's Encrypt,0,0.3289138
akademiden,2202,353,212,153,Sectigo Limited,0,0.0193764
ucaymak,2902,384,51,39,Let's Encrypt,0,0.03931411
cantas-insaat,3591,59,17,73,Sectigo Limited,0,0.007691675
dollvet,6052,521,19,71,Let's Encrypt,0,0.18495362
musclegym,844,615,35,55,Let's Encrypt,0,0.1491885
miilux,1624,566,276,121,GlobalSign nv-sa,0,0.5754792
premierpalace,3529,122,-1,-1,,0,0.039059717
leemy,2230,325,-1,-1,,0,0.29981276
airfan,5784,58,11,79,Let's Encrypt,0,0.07486869
zesar,7883,881,56,34,Let's Encrypt,0,0.012547349
hoppalabebe,4516,231,-1,-1,,0,0.110480435
m-o-s,5244,233,-1,-1,,0,0.1677423
verbiilan,718,10,-1,-1,,0,0.45336947
evcil,6931,6,36,54,Let's Encrypt,0,0.008326146
mertdursun,511,218,116,249,Sectigo Limited,0,0.028669514
arabayedekparcam,1788,36,17,73,Let's Encrypt,0,0.0011655638
walldecor,1498,327,7,83,Let's Encrypt,0,0.12072319
selimtoker,2206,1810,51,39,Let's Encrypt,0,0.0029372843
jetmail,3336,680,145,221,Sectigo Limited,0,0.31608492
sterling,2753,532,99,266,Sectigo Limited,0,0.11645938
